WORD,IM_Y_M_N,IM_Y_F_N,IM_O_M_N,IM_O_F_N,IM_Y_M_MEAN,IM_Y_F_MEAN,IM_O_M_MEAN,IM_O_F_MEAN,IM_Y_M_SD,IM_Y_F_SD,IM_O_M_SD,IM_O_F_SD,IM_Y_N,IM_O_N,IM_Y_MEAN,IM_O_MEAN,IM_Y_SD,IM_O_SD,EM_Y_M_N,EM_Y_F_N,EM_O_M_N,EM_O_F_N,EM_Y_M_MEAN,EM_Y_F_MEAN,EM_O_M_MEAN,EM_O_F_MEAN,EM_Y_M_SD,EM_Y_F_SD,EM_O_M_SD,EM_O_F_SD,EM_Y_N,EM_O_N,EM_Y_MEAN,EM_O_MEAN,EM_Y_SD,EM_O_SD,F_Unknown_Y,F_Unknown_O,Kategorie,WORD_length,length_group,Is_plant
Arm,12,9,11,11,83.83,92.33,84.18,82.36,17.43,9.21,27.48,27.69,21,22,87.48,83.27,14.82,26.94,8,10,9,10,15.75,10.1,27.0,28.3,27.22,32.85,33.71,22.81,18,19,12.61,27.68,29.75,27.67,0.0,0.0,,3,short_word,
Armband,12,8,12,11,76.08,92.63,93.42,92.91,22.16,8.62,8.9,7.23,20,23,82.7,93.17,19.51,7.96,10,8,10,9,5.0,34.5,32.4,32.11,24.66,33.7,28.24,25.56,18,19,18.11,32.26,31.89,26.25,0.0,0.0,,7,long_word,
Armbanduhr,10,11,12,11,94.0,88.0,98.42,95.45,10.04,14.09,4.62,4.41,21,23,90.86,97.0,12.41,4.67,8,10,9,10,11.5,2.4,51.56,43.3,22.58,17.13,25.18,26.37,18,19,6.44,47.21,19.67,25.44,0.0,0.0,,10,long_word,
Armee,10,10,13,10,73.3,69.1,78.23,81.4,24.18,17.61,22.07,19.19,20,23,71.2,79.61,20.7,20.47,8,10,9,10,-34.25,-58.4,-23.89,-56.6,33.53,39.68,60.09,37.85,18,19,-47.67,-41.11,38.06,51.02,0.0,0.0,,5,short_word,
Ärmel,10,11,14,8,69.4,85.55,92.36,83.5,26.1,10.92,9.75,28.85,21,22,77.86,89.14,20.84,18.85,8,10,8,12,2.63,10.4,12.88,22.25,13.21,17.4,16.74,19.64,18,20,6.94,18.5,15.75,18.68,0.0,0.0,,5,short_word,
Armut,11,8,12,10,41.55,25.5,57.42,64.3,31.02,21.14,32.54,31.46,19,22,34.79,60.55,27.83,31.48,8,10,9,10,-63.0,-58.0,-69.89,-69.1,29.64,36.72,27.67,22.64,18,19,-60.22,-69.47,32.89,24.43,0.0,0.0,,5,short_word,
Arroganz,10,10,11,12,33.6,25.2,30.45,38.83,26.9,25.3,33.95,25.77,20,23,29.4,34.83,25.78,29.57,10,9,8,11,-64.6,-56.44,-51.0,-64.0,30.39,44.73,30.05,30.51,19,19,-60.74,-58.53,36.99,30.19,0.0,0.0,,8,long_word,
Art,11,9,12,11,31.64,8.33,45.42,30.27,31.49,8.37,32.82,31.96,20,23,21.15,38.17,26.32,32.6,10,8,10,9,12.5,4.38,11.6,7.11,22.55,12.37,15.87,11.63,18,19,8.89,9.47,18.69,13.83,0.0,0.0,,3,short_word,
Artikel,10,10,10,12,54.9,31.4,37.8,63.92,38.99,27.69,28.45,33.6,20,22,43.15,52.05,35.05,33.4,8,10,9,10,13.63,11.1,6.11,18.7,23.13,19.08,11.07,24.79,18,19,12.22,12.74,20.36,20.09,0.0,0.03,,7,long_word,
Arzt,10,10,11,11,83.7,73.4,84.36,90.0,13.28,20.61,25.38,8.56,20,22,78.55,87.18,17.68,18.7,9,10,8,11,10.89,-19.9,22.13,25.09,44.9,44.99,45.09,40.74,19,19,-5.32,23.84,46.45,41.41,0.0,0.0,nature_based_human,4,short_word,
Asche,8,12,12,11,79.75,83.33,79.5,78.91,14.83,14.2,26.51,24.21,20,23,81.9,79.22,14.18,24.86,9,9,8,11,-30.0,-40.33,-30.25,-27.55,31.02,30.32,28.62,27.01,18,19,-35.17,-28.68,30.23,26.94,0.0,0.0,,5,short_word,
Assel,9,12,11,11,88.33,68.17,77.55,74.18,11.16,19.55,31.25,28.84,21,22,76.81,75.86,19.1,29.39,10,8,8,11,-17.9,-15.38,-56.5,-51.64,27.4,23.35,37.45,32.35,18,19,-16.78,-53.68,24.97,33.66,0.0,0.0,nature_based_non_human,5,short_word,
Ast,9,11,13,10,86.44,90.36,92.62,89.5,15.92,9.72,8.54,11.27,20,23,88.6,91.26,12.67,9.71,8,10,9,10,19.38,25.5,14.22,16.4,23.59,36.45,16.01,23.6,18,19,22.78,15.37,30.7,19.84,0.0,0.0,,3,short_word,
Astronaut,9,11,11,11,86.22,85.91,82.45,77.64,19.86,15.31,22.59,27.06,20,22,86.05,80.05,17.02,24.45,8,10,9,11,31.75,26.2,26.0,25.64,35.16,33.82,26.38,31.18,18,20,28.67,25.8,33.51,28.37,0.0,0.0,nature_based_human,9,long_word,
Atelier,10,9,11,12,70.6,62.0,82.09,84.0,25.89,16.07,17.04,15.69,19,23,66.53,83.09,21.66,16.0,10,8,10,9,29.7,45.38,18.2,35.0,29.84,42.82,26.09,22.25,18,19,36.67,26.16,35.92,25.19,0.0,0.0,,7,long_word,
Atem,12,9,11,12,47.75,52.22,49.73,66.08,35.27,29.49,37.2,28.39,21,23,49.67,58.26,32.2,33.19,9,9,9,10,46.89,41.22,38.89,33.0,26.17,24.37,25.89,25.57,18,19,44.06,35.79,24.7,25.18,0.0,0.0,,4,short_word,
Atlas,11,9,11,11,83.82,79.67,91.91,83.64,15.39,14.58,9.35,22.66,20,22,81.95,87.77,14.78,17.44,8,10,9,10,36.75,23.0,33.78,35.6,38.31,32.39,30.29,24.85,18,19,29.11,34.74,34.77,26.78,0.0,0.0,,5,short_word,
Aufbau,10,11,12,11,27.9,15.09,44.42,53.27,25.58,15.4,29.24,37.12,21,23,21.19,48.65,21.36,32.78,10,9,8,11,23.0,17.0,39.5,30.36,27.17,24.15,26.05,25.02,19,19,20.16,34.21,25.25,25.17,0.0,0.0,,6,short_word,
Aufgabe,10,11,12,11,43.5,29.55,33.5,46.64,34.13,21.44,30.59,27.63,21,23,36.19,39.78,28.37,29.32,10,9,11,8,17.1,3.67,24.09,25.0,38.49,23.84,27.2,28.17,19,19,10.74,24.47,32.26,26.83,0.0,0.0,,7,long_word,
Aufgang,11,10,12,11,48.27,54.7,67.75,70.0,37.25,31.74,28.67,26.05,21,23,51.33,68.83,34.03,26.85,9,9,10,9,11.33,22.22,25.0,22.78,21.15,33.07,28.64,22.92,18,19,16.78,23.95,27.5,25.4,0.0,0.0,,7,long_word,
Aufklärung,11,10,13,10,33.36,21.1,31.08,38.6,27.09,21.22,30.27,30.32,21,23,27.52,34.35,24.68,29.84,9,9,9,10,25.33,16.22,56.33,33.5,28.78,39.9,30.77,33.42,18,19,20.78,44.32,34.08,33.41,0.0,0.0,,10,long_word,
Auflage,11,11,12,11,44.55,35.82,47.42,47.82,35.76,32.03,26.07,34.94,22,23,40.18,47.61,33.42,29.91,9,9,8,11,-3.56,-4.56,4.88,7.45,40.19,13.84,35.03,21.27,18,19,-4.06,6.37,29.16,27.02,0.0,0.0,,7,long_word,
Aufprall,9,11,13,10,62.89,48.09,61.46,67.4,27.85,28.16,32.2,32.06,20,23,54.75,64.04,28.3,31.55,9,9,12,7,-39.22,-48.89,-52.67,-72.57,40.11,20.11,28.66,26.81,18,19,-44.06,-60.0,31.18,28.96,0.0,0.0,,8,long_word,
Aufstand,11,10,11,11,50.36,34.0,44.91,46.0,30.23,23.12,25.06,37.47,21,22,42.57,45.45,27.71,31.11,11,8,10,9,-13.18,-11.5,-34.6,-38.78,57.83,41.84,39.39,34.9,19,19,-12.47,-36.58,50.39,36.36,0.0,0.0,,8,long_word,
Auftakt,13,7,11,12,27.38,20.86,41.27,36.5,25.31,19.83,37.61,36.91,20,23,25.1,38.78,23.22,36.47,9,9,8,11,18.78,19.89,23.63,10.73,24.06,19.57,21.4,20.17,18,19,19.33,16.16,21.29,21.14,0.0,0.0,,7,long_word,
Auftrag,10,9,13,10,26.5,24.89,34.77,45.1,21.72,16.95,31.2,29.99,19,23,25.74,39.26,19.08,30.43,9,9,9,10,4.44,-0.44,26.11,15.7,40.54,9.42,19.97,22.44,18,19,2.0,20.63,28.66,21.39,0.0,0.0,,7,long_word,
Aufwand,11,9,11,12,17.18,10.56,39.64,43.42,22.4,12.21,30.97,36.22,20,23,14.2,41.61,18.4,33.1,8,10,10,9,-27.88,-13.9,-10.7,-2.78,31.24,18.52,20.86,24.73,18,19,-20.11,-6.95,25.19,22.49,0.0,0.0,,7,long_word,
Auge,10,10,12,10,95.1,93.3,98.0,95.0,5.72,9.43,3.16,4.85,20,22,94.2,96.64,7.65,4.2,9,9,9,10,19.0,16.78,39.56,48.8,24.04,21.25,34.54,32.25,18,19,17.89,44.42,22.04,32.75,0.0,0.0,,4,short_word,
Augenarzt,11,10,13,10,64.09,65.1,86.46,82.5,27.26,20.28,15.32,24.29,21,23,64.57,84.74,23.6,19.32,9,10,9,11,-9.44,-2.1,17.78,27.27,28.69,35.8,46.19,39.11,19,20,-5.58,23.0,31.95,41.55,0.0,0.0,nature_based_human,9,long_word,
Augenblick,10,10,13,10,27.6,23.7,38.54,46.3,35.41,26.64,34.17,36.6,20,23,25.65,41.91,30.56,34.64,9,10,9,10,33.44,46.1,24.78,20.0,38.98,28.76,32.73,28.19,19,19,40.11,22.26,33.63,29.66,0.0,0.0,,10,long_word,
Augenlid,13,8,12,10,79.62,92.25,88.0,91.5,17.55,9.71,21.57,14.43,21,22,84.43,89.59,16.04,18.34,9,9,8,11,11.78,12.56,15.75,24.36,13.24,18.37,25.38,28.41,18,19,12.17,20.74,15.54,26.79,0.0,0.0,,8,long_word,
Aula,10,10,12,11,71.8,69.6,81.5,88.0,27.13,20.65,17.12,14.3,20,23,70.7,84.61,23.49,15.83,10,8,9,10,4.8,16.25,18.56,28.9,15.83,34.85,25.37,21.81,18,19,9.89,24.0,25.83,23.5,0.0,0.0,,4,short_word,
Ausbildung,10,11,13,9,36.5,27.45,36.85,53.89,28.55,18.1,21.0,33.28,21,22,31.76,43.82,23.49,27.34,8,10,9,10,14.75,16.3,58.56,58.2,37.67,35.64,33.22,26.94,18,19,15.61,58.37,35.46,29.21,0.0,0.0,,10,long_word,
Ausdruck,9,12,11,11,22.56,29.92,40.91,53.18,24.92,23.56,29.69,36.49,21,22,26.76,47.05,23.82,33.06,11,8,10,9,8.36,2.5,15.4,6.22,17.53,21.02,21.53,25.3,19,19,5.89,11.05,18.75,23.2,0.0,0.0,,8,long_word,
Ausflug,10,10,12,11,48.8,35.3,66.67,62.45,29.13,24.51,22.83,36.2,20,23,42.05,64.65,27.1,29.34,10,9,10,10,35.7,49.11,61.0,51.2,27.2,42.6,25.24,43.13,19,20,42.05,56.1,34.98,34.76,0.0,0.0,,7,long_word,
Ausgang,11,11,13,9,58.82,52.45,59.15,74.33,30.99,27.41,30.48,25.93,22,22,55.64,65.36,28.73,29.07,9,9,8,11,13.78,6.78,24.75,8.0,29.17,12.01,28.71,24.82,18,19,10.28,15.05,21.94,27.11,0.0,0.0,,7,long_word,
Ausland,10,11,13,10,46.8,46.45,52.08,62.2,37.87,25.49,36.96,20.43,21,23,46.62,56.48,31.15,30.69,10,9,10,9,35.1,47.33,27.1,26.11,28.05,32.19,24.65,21.39,19,19,40.89,26.63,29.89,22.52,0.0,0.0,,7,long_word,
Ausnahme,10,8,13,10,13.7,15.88,38.38,31.4,13.37,18.19,34.23,30.92,18,23,14.67,35.35,15.24,32.29,11,8,9,10,-5.0,-2.38,3.0,2.4,34.06,21.54,27.02,18.09,19,19,-3.89,2.68,28.75,22.09,0.0,0.0,,8,long_word,
Auspuff,10,10,13,10,82.8,89.3,95.69,82.0,16.14,14.66,6.36,19.64,20,23,86.05,89.74,15.37,15.1,9,9,10,9,-8.78,-32.67,-18.7,-1.78,40.28,17.33,33.18,27.84,18,19,-20.72,-10.68,32.5,31.15,0.0,0.0,,7,long_word,
Ausrottung,11,10,12,11,50.45,26.2,36.5,43.0,35.33,26.43,31.33,29.8,21,23,38.9,39.61,33.05,30.09,13,13,12,13,-87.15,-97.38,-79.83,-83.69,19.6,4.25,48.51,25.26,26,25,-92.27,-81.84,14.84,37.44,0.0,0.0,,10,long_word,
Ausschluss,10,11,12,11,25.0,13.73,25.83,25.73,21.44,15.23,21.74,30.03,21,23,19.1,25.78,18.87,25.42,7,11,8,11,-46.29,-37.91,-42.88,-16.82,29.34,27.85,36.35,48.4,18,19,-41.17,-27.79,27.89,44.61,0.0,0.0,,10,long_word,
Auster,11,8,11,12,81.09,86.25,88.09,85.08,17.31,14.22,14.11,23.58,19,23,83.26,86.52,15.87,19.26,12,6,8,11,28.75,-8.5,12.75,16.45,32.8,18.54,34.48,36.71,18,19,16.33,14.89,33.52,34.85,0.0,0.0,nature_based_non_human,6,short_word,
Auswahl,11,11,11,11,24.45,19.36,44.82,38.27,26.02,15.38,32.64,26.22,22,22,21.91,41.55,21.02,29.08,10,9,10,9,4.8,20.44,19.5,19.44,25.78,31.42,28.47,24.23,19,19,12.21,19.47,28.91,25.81,0.0,0.0,,7,long_word,
Auswertung,9,12,13,9,28.67,25.0,36.92,40.11,30.43,15.44,30.67,30.49,21,22,26.57,38.23,22.47,29.9,9,9,9,10,-6.44,4.67,5.11,5.0,18.83,27.3,10.82,14.73,18,19,-0.89,5.05,23.46,12.67,0.0,0.0,,10,long_word,
Auto,11,9,13,10,91.91,97.22,98.0,94.6,9.51,3.87,3.16,6.77,20,23,94.3,96.52,7.83,5.21,9,9,10,9,14.11,11.89,41.1,47.67,47.93,23.51,28.35,26.83,18,19,13.0,44.21,36.64,27.08,0.0,0.0,,4,short_word,
Autogramm,11,9,12,10,64.45,56.67,75.92,85.5,33.92,20.8,26.77,21.58,20,22,60.95,80.27,28.35,24.47,10,8,10,10,4.8,26.75,10.8,23.6,27.03,20.24,22.71,27.68,18,20,14.56,17.2,26.11,25.5,0.0,0.0,,9,long_word,
Automat,10,10,13,10,82.7,72.8,88.0,73.4,21.78,19.46,16.47,25.22,20,23,77.75,81.65,20.73,21.52,8,10,9,11,13.75,-4.3,12.78,12.45,39.29,27.76,20.95,20.22,18,20,3.72,12.6,33.6,20.0,0.0,0.0,,7,long_word,
Axt,10,10,12,11,89.7,95.7,96.67,87.55,15.2,5.38,3.45,14.42,20,23,92.7,92.3,11.51,11.05,10,8,11,8,-22.6,-47.0,-0.64,-20.63,34.27,28.44,35.1,34.08,18,19,-33.44,-9.05,33.32,35.2,0.0,0.0,,3,short_word,
Baby,11,11,11,12,93.55,94.27,98.0,93.92,5.68,6.21,3.61,7.08,22,23,93.91,95.87,5.82,5.94,10,9,9,9,48.8,40.56,48.89,82.33,38.74,40.2,38.06,16.12,19,18,44.89,65.61,38.56,33.17,0.0,0.0,nature_based_human,4,short_word,
Bach,10,9,12,10,85.2,80.89,90.25,87.0,14.91,13.43,14.52,13.96,19,22,83.16,88.77,14.01,14.02,10,8,9,10,46.4,52.75,44.89,45.3,28.66,29.43,29.82,22.9,18,19,49.22,45.11,28.32,25.64,0.0,0.0,,4,short_word,
Backblech,10,11,13,10,84.2,82.64,88.85,87.1,16.81,14.81,21.4,22.27,21,23,83.38,88.09,15.41,21.29,9,9,7,12,26.44,22.78,30.43,31.17,21.21,26.85,27.42,31.14,18,19,24.61,30.89,23.55,29.04,0.0,0.0,,9,long_word,
Bäcker,11,10,13,10,75.18,73.2,89.69,87.9,18.33,25.23,16.75,21.88,21,23,74.24,88.91,21.34,18.7,9,10,8,11,20.44,48.4,46.88,36.73,14.17,32.01,20.41,31.64,19,19,35.16,41.0,28.41,27.29,0.0,0.0,nature_based_human,6,short_word,
Bäckerei,11,10,12,11,69.73,84.0,96.67,91.0,23.52,9.81,6.04,10.1,21,23,76.52,93.96,19.32,8.54,9,9,9,10,16.22,36.44,47.44,35.4,9.56,27.55,28.5,28.18,18,19,26.33,41.11,22.55,28.22,0.0,0.0,,8,long_word,
Backofen,10,11,12,11,84.4,88.73,88.75,86.91,15.99,11.63,14.96,14.82,21,23,86.67,87.87,13.69,14.58,9,10,9,10,29.67,24.8,37.22,33.4,33.13,34.22,22.28,26.63,19,19,27.11,35.21,32.86,24.06,0.0,0.0,,8,long_word,
Bad,10,10,11,12,83.0,79.5,90.55,91.25,17.13,13.72,11.17,10.06,20,23,81.25,90.91,15.21,10.37,10,8,10,9,37.9,51.5,45.7,66.44,29.13,37.02,28.25,24.84,18,19,43.94,55.53,32.59,28.04,0.0,0.0,,3,short_word,
Bagger,11,9,13,10,89.36,87.44,93.0,86.1,13.18,12.45,10.11,15.98,20,23,88.5,90.0,12.56,13.13,9,9,9,10,7.44,-6.22,5.0,1.7,29.5,13.09,28.95,11.91,18,19,0.61,3.26,23.23,21.13,0.0,0.0,,6,short_word,
Bahnhof,9,11,10,13,76.89,80.36,95.5,91.08,32.56,13.49,6.19,11.27,20,23,78.8,93.0,23.35,9.48,7,12,11,8,34.43,11.17,36.18,26.88,36.07,32.34,32.36,38.68,19,19,19.74,32.26,34.73,34.43,0.0,0.0,,7,long_word,
Bahre,9,9,13,9,74.67,69.33,86.54,73.67,25.28,23.78,17.34,30.85,18,22,72.0,81.27,23.97,24.0,10,8,8,11,-33.5,-27.0,-54.88,-75.64,31.9,39.84,38.32,20.6,18,19,-30.61,-66.89,34.69,30.29,0.04,0.0,,5,short_word,
Balken,10,10,12,11,79.9,88.0,88.42,81.73,18.59,10.64,18.87,26.51,20,23,83.95,85.22,15.32,22.56,10,8,9,10,4.5,1.38,16.78,16.8,21.31,8.02,25.5,25.62,18,19,3.11,16.79,16.42,24.85,0.0,0.0,,6,short_word,
Balkon,12,7,12,10,85.25,93.71,96.08,91.3,14.14,6.16,4.34,7.1,19,22,88.37,93.91,12.35,6.12,8,10,9,10,40.38,33.5,42.78,53.5,24.69,29.31,31.1,29.29,18,19,36.56,48.42,26.8,29.81,0.0,0.0,,6,short_word,
Ball,10,10,13,10,89.1,95.1,97.31,91.1,17.09,4.84,3.71,9.73,20,23,92.1,94.61,12.61,7.49,11,8,9,10,36.0,36.5,30.56,48.3,28.98,37.44,29.06,31.12,19,19,36.21,39.89,31.81,30.7,0.0,0.0,,4,short_word,
Ballon,9,11,12,11,87.67,90.09,94.5,92.91,11.86,7.92,7.08,9.25,20,23,89.0,93.74,9.68,8.04,9,10,8,11,22.44,41.9,26.0,30.55,25.25,35.46,28.75,38.83,19,19,32.68,28.63,31.81,34.12,0.0,0.0,,6,short_word,
Bambus,11,10,11,12,86.09,86.5,84.36,84.5,13.02,20.23,15.13,12.3,21,23,86.29,84.43,16.4,13.41,10,8,8,11,31.1,40.13,38.63,25.36,27.5,41.0,41.06,23.53,18,19,35.11,30.95,33.37,31.76,0.0,0.0,nature_based_non_human,6,short_word,plant
Banane,12,9,11,12,93.42,97.56,97.73,95.25,11.61,3.17,2.57,4.86,21,23,95.19,96.43,9.09,4.05,10,8,11,8,40.8,49.25,47.73,44.75,17.36,31.84,22.9,36.34,18,19,44.56,46.47,24.41,28.41,0.0,0.0,,6,short_word,
Band,10,10,13,10,81.8,68.6,74.85,77.8,22.63,23.54,24.82,20.48,20,23,75.2,76.13,23.47,22.58,10,9,9,10,17.5,18.33,12.22,13.9,35.9,24.83,15.59,18.21,19,19,17.89,13.11,30.31,16.57,0.0,0.0,,4,short_word,
Bande,12,8,13,10,55.83,52.0,68.62,66.0,20.86,18.51,29.38,27.25,20,23,54.3,67.48,19.54,27.87,11,8,10,10,-16.18,-22.0,-59.5,-54.5,31.34,27.0,28.71,33.55,19,20,-18.63,-57.0,28.94,30.5,0.0,0.0,,5,short_word,
Bank,9,11,12,10,77.0,92.45,93.75,91.5,27.47,12.3,9.3,9.43,20,22,85.5,92.73,21.44,9.21,10,8,9,10,-7.1,4.0,16.0,38.8,34.38,22.9,17.53,33.4,18,19,-2.17,28.0,29.56,28.83,0.0,0.0,nature_based_human,4,short_word,
Bankier,10,10,13,10,56.4,52.3,57.77,64.7,22.43,23.71,34.85,28.59,20,23,54.35,60.78,22.56,31.77,9,9,9,10,-26.22,-17.22,1.44,11.4,42.63,16.81,27.12,35.15,18,19,-21.72,6.68,31.77,31.16,0.0,0.0,nature_based_human,7,long_word,
Bär,11,9,11,12,93.82,95.22,97.09,90.83,6.98,4.74,3.83,10.74,20,23,94.45,93.83,5.97,8.64,6,5,4,4,31.5,36.4,10.5,20.25,24.63,40.49,53.08,38.84,11,8,33.73,15.38,31.08,43.37,0.0,0.0,nature_based_non_human,3,short_word,
Bar,10,9,13,10,72.8,81.0,86.77,86.2,26.94,17.31,20.89,14.82,19,23,76.68,86.52,22.67,18.11,5,4,7,5,21.4,40.0,22.71,17.6,24.34,27.29,47.76,38.28,9,12,29.67,20.58,25.91,42.24,0.0,0.0,,3,short_word,
Bargeld,9,10,12,11,72.56,72.0,95.67,89.0,23.8,20.45,6.84,12.96,19,23,72.26,92.48,21.47,10.55,8,10,9,10,42.0,41.4,62.0,55.3,36.36,34.83,27.68,34.01,18,19,41.67,58.47,34.45,30.51,0.0,0.0,,7,long_word,
Barkeeper,10,10,12,11,72.5,73.9,69.67,82.36,24.9,19.28,28.42,18.98,20,23,73.2,75.74,21.69,24.69,9,9,9,10,30.11,28.56,9.89,5.7,27.07,38.72,43.25,26.99,18,19,29.33,7.68,32.42,34.65,0.0,0.0,nature_based_human,9,long_word,
Baron,11,9,11,12,54.64,49.89,52.0,57.58,22.5,18.82,24.54,21.69,20,23,52.5,54.91,20.53,22.74,9,9,10,9,-20.0,16.33,-7.6,-2.44,30.5,28.15,15.84,39.04,18,19,-1.83,-5.16,34.06,28.46,0.0,0.0,nature_based_human,5,short_word,
Barren,9,10,12,11,78.0,77.5,77.33,81.91,25.43,19.53,24.37,18.49,19,23,77.74,79.52,21.87,21.4,9,9,9,10,-0.89,12.67,7.56,23.4,38.59,45.32,49.27,26.69,18,19,5.89,15.89,41.42,38.75,0.0,0.0,,6,short_word,
Barsch,10,9,13,10,78.9,67.22,84.46,78.2,20.78,33.42,20.1,19.74,19,23,73.37,81.74,27.35,19.74,8,10,9,11,23.25,12.8,50.11,16.45,17.18,34.36,37.37,37.17,18,20,17.44,31.6,27.84,40.13,0.0,0.0,nature_based_non_human,6,short_word,
Bart,10,9,15,8,90.5,85.0,94.27,81.5,8.51,14.04,5.36,22.39,19,23,87.89,89.83,11.48,14.71,9,10,9,10,19.89,9.8,-1.22,4.4,35.76,32.54,46.24,28.94,19,19,14.58,1.74,33.54,37.11,0.0,0.0,,4,short_word,
Basketball,10,10,11,11,88.6,92.5,79.91,84.45,20.49,7.92,30.76,16.63,20,22,90.55,82.18,15.25,24.24,10,9,9,10,18.0,28.89,30.0,35.8,36.73,33.35,26.73,28.87,19,19,23.16,33.05,34.64,27.26,0.0,0.0,,10,long_word,
Bass,10,10,13,10,85.7,76.2,65.23,77.9,15.3,21.59,36.5,19.17,20,23,80.95,70.74,18.85,30.3,9,10,9,10,38.89,16.4,42.56,31.6,25.39,31.42,29.37,30.98,19,19,27.05,36.79,30.22,29.92,0.0,0.0,nature_based_human,4,short_word,
Batterie,10,9,10,13,88.1,90.0,90.7,81.15,16.33,14.54,15.09,22.82,19,23,89.0,85.3,15.11,20.01,9,9,9,10,9.33,5.0,12.78,19.4,36.63,13.77,11.08,25.95,18,19,7.17,16.26,26.94,20.07,0.0,0.0,,8,long_word,
Bauch,11,9,13,10,83.91,89.78,89.38,86.2,18.58,9.34,9.82,13.79,20,23,86.55,88.0,15.08,11.53,10,9,9,10,38.0,22.22,-7.44,10.0,43.42,56.24,29.37,26.03,19,19,30.53,1.74,49.13,28.33,0.0,0.0,,5,short_word,
Bauer,11,8,11,11,74.45,65.63,86.45,84.91,20.84,18.55,13.49,25.15,19,22,70.74,85.68,19.88,19.71,9,9,9,9,32.11,25.11,58.89,24.11,30.65,22.69,28.23,13.77,18,18,28.61,41.5,26.41,28.01,0.0,0.04,nature_based_human,5,short_word,
Bauernhaus,10,8,12,11,80.1,76.88,93.75,91.73,23.14,19.33,7.78,6.97,18,23,78.67,92.78,20.98,7.31,9,9,10,9,36.11,42.56,52.5,41.56,21.39,40.02,32.65,28.19,18,19,39.33,47.32,31.3,30.29,0.0,0.0,,10,long_word,
Bauernhof,10,9,11,12,73.8,88.56,93.82,90.33,22.35,9.5,5.0,8.77,19,23,80.79,92.0,18.63,7.28,9,10,9,11,32.78,34.6,54.89,51.09,23.79,34.63,27.19,18.77,19,20,33.74,52.8,29.19,22.37,0.0,0.0,,9,long_word,
Bauklotz,10,10,12,11,75.5,81.4,76.58,73.45,18.86,15.23,29.55,26.17,20,23,78.45,75.09,16.96,27.4,9,9,10,9,7.33,19.22,15.8,25.11,32.28,32.83,11.27,27.24,18,19,13.28,20.21,32.17,20.4,0.0,0.0,,8,long_word,
Baum,10,10,13,10,88.4,95.2,96.38,96.9,16.01,8.23,5.62,3.51,20,23,91.8,96.61,12.87,4.73,10,8,9,11,51.2,53.13,62.89,60.27,28.1,37.79,33.06,18.17,18,20,52.06,61.45,31.73,25.21,0.0,0.0,nature_based_non_human,4,short_word,plant
Baumwipfel,11,9,11,11,82.36,87.33,88.55,91.45,14.51,7.58,16.13,10.84,20,22,84.6,90.0,11.89,13.49,10,8,10,9,37.2,31.63,51.3,39.56,23.5,41.19,34.9,28.17,18,19,34.72,45.74,31.61,31.59,0.0,0.0,,10,long_word,
Baumwolle,8,12,13,10,69.13,79.17,84.54,82.2,23.76,22.95,22.42,16.21,20,23,75.15,83.52,23.2,19.57,7,11,9,10,33.14,35.73,16.0,41.5,19.11,26.07,11.92,25.29,18,19,34.72,29.42,23.03,23.54,0.0,0.0,nature_based_non_human,9,long_word,plant
Beamter,12,7,10,12,53.42,55.0,71.5,59.92,32.17,22.99,30.22,33.7,19,22,54.0,65.18,28.45,31.95,9,10,9,10,-28.67,-24.8,-27.33,7.5,39.3,30.04,37.27,43.36,19,19,-26.63,-9.0,33.79,43.32,0.0,0.0,nature_based_human,7,long_word,
Becher,11,8,10,12,81.91,94.88,88.1,92.67,16.11,5.51,21.08,6.21,19,22,87.37,90.59,14.12,14.7,10,9,8,11,12.4,8.22,20.88,23.64,15.89,17.1,13.88,21.37,19,19,10.42,22.47,16.15,18.19,0.0,0.0,,6,short_word,
Becken,9,11,12,10,77.0,77.91,75.58,88.4,16.9,19.97,21.36,12.99,20,22,77.5,81.41,18.18,18.82,11,8,9,10,24.18,10.25,6.78,6.4,25.51,19.11,20.96,17.81,19,19,18.32,6.58,23.53,18.81,0.0,0.0,,6,short_word,
Bedarf,10,8,13,10,16.6,8.75,32.85,39.2,14.27,8.19,32.36,25.76,18,23,13.11,35.61,12.31,29.21,9,10,10,9,-23.11,1.2,3.1,6.44,23.06,7.08,35.15,10.11,19,19,-10.32,4.68,20.42,25.81,0.0,0.0,,6,short_word,
Bedeutung,9,12,11,11,12.0,7.42,34.91,35.18,11.17,10.32,32.93,22.47,21,22,9.38,35.05,10.67,27.51,10,8,9,10,21.8,23.13,9.56,8.6,27.07,21.88,12.57,12.67,18,19,22.39,9.05,24.2,12.28,0.0,0.0,,9,long_word,
Bedingung,11,9,13,10,15.55,9.33,31.46,33.6,15.74,15.37,34.23,27.82,20,23,12.75,32.39,15.49,30.94,10,8,10,9,-26.8,-20.88,-14.8,0.22,35.47,21.51,46.04,18.23,18,19,-24.17,-7.68,29.42,35.6,0.0,0.0,,9,long_word,
Bedrohung,10,10,12,11,18.7,25.9,53.08,39.73,18.07,20.93,20.94,27.66,20,23,22.3,46.7,19.38,24.77,13,13,12,13,-64.85,-82.92,-73.67,-88.54,18.92,17.19,52.84,15.38,26,25,-73.88,-81.4,19.97,38.15,0.0,0.0,,9,long_word,
